ID,shortName,longName,altName,saintType,feastRank,color,month,day,feastStation,feastInfo,properMass,massExceptions
sB04,St. Charles Borromeo,,,BC,dbl4,white,11,4,,,,
cB04,Ss. Vitalis & Agricola,,,MM,smpl,red,11,4,,,,
cB08,Four Crowned Martyrs,Holy Four Crowned Martyrs,,MM,smpl,red,11,8,,,,
dB09,Basilica of Our Savior,Dedication of the Basilica of Our Savior,,,dbl2,white,11,9,,,,
cB09,St. Theodore,,,M,smpl,red,11,9,,,,
sB11,Martinmas,,St. Martin,BC,dbl4,white,11,11,,,,
cB11,St. Mennas,,,M,smpl,red,11,11,,,,
sB12,St. Martin,,,PM,dbl5,red,11,12,,,,
sB13,St. Didacus,,,C,dbl5,white,11,13,,,,
sB14,St. Josaphat,,,BM,dbl4,red,11,14,,,,
sB15,St. Albert the Great,,,BCD,dbl4,white,11,15,,,,
sB16,St. Gertrude,,,Va,dbl4,white,11,16,,,,
sB17,St. Gregory Thaumaturgus,Saint Gregory the Miracle-Worker,,BC,dbl5,white,11,17,,,,
sB18,Ss. Peter & Paul Basilica,Dedication of the Basilica of Saints Peter and Paul,,,dbl3,white,11,18,,,,
sB19,St. Elizabeth,,,QW,dbl4,white,11,19,,,,
cB19,St. Pontianus,,,PM,smpl,red,11,19,,,,
bB21,BVM Presentation,,,,dbl3,blue,11,21,,,,
